epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.0037,1.44664,0.68515,0.98218,0.85462,0.00033033,0.00033033,0.00033033
2,75.676,0.80185,0.81188,0.99802,0.53494,0.000657093,0.000657093,0.000657093
3,110.493,0.68577,0.81188,1,0.50806,0.000977256,0.000977256,0.000977256
4,144.622,0.55698,0.84356,1,0.43848,0.0009703,0.0009703,0.0009703
5,192.204,0.52286,0.86535,0.99604,0.42138,0.0009604,0.0009604,0.0009604
6,238.995,0.47844,0.82772,0.99604,0.44645,0.0009505,0.0009505,0.0009505
7,289.632,0.36526,0.89901,0.99802,0.31538,0.0009406,0.0009406,0.0009406
8,325.684,0.36169,0.88119,0.99802,0.30394,0.0009307,0.0009307,0.0009307
9,361.159,0.30058,0.90099,0.99604,0.30213,0.0009208,0.0009208,0.0009208
10,397.088,0.26274,0.86337,0.99802,0.41418,0.0009109,0.0009109,0.0009109
11,432.39,0.30018,0.88515,0.99604,0.31733,0.000901,0.000901,0.000901
12,471.806,0.26609,0.89307,0.99802,0.29037,0.0008911,0.0008911,0.0008911
13,508.136,0.22011,0.90495,0.99802,0.28935,0.0008812,0.0008812,0.0008812
14,543.536,0.22628,0.88713,0.99802,0.33778,0.0008713,0.0008713,0.0008713
15,578.911,0.22208,0.88317,0.99406,0.42316,0.0008614,0.0008614,0.0008614
16,614.13,0.21966,0.90297,0.99802,0.32139,0.0008515,0.0008515,0.0008515
17,664.111,0.18785,0.89307,0.99802,0.35642,0.0008416,0.0008416,0.0008416
18,703.174,0.18349,0.89901,0.99802,0.33368,0.0008317,0.0008317,0.0008317
19,739.426,0.1978,0.89901,0.99802,0.28819,0.0008218,0.0008218,0.0008218
20,777.229,0.19418,0.86931,0.99802,0.37715,0.0008119,0.0008119,0.0008119
21,814.031,0.17811,0.88317,0.99802,0.39948,0.000802,0.000802,0.000802
22,850.121,0.17711,0.90099,0.99802,0.27876,0.0007921,0.0007921,0.0007921
23,886.598,0.14448,0.90891,0.99802,0.30904,0.0007822,0.0007822,0.0007822
24,923.294,0.13413,0.90495,0.99604,0.32026,0.0007723,0.0007723,0.0007723
25,959.848,0.13248,0.90693,0.99604,0.33432,0.0007624,0.0007624,0.0007624
26,996.813,0.15903,0.87723,0.99604,0.42081,0.0007525,0.0007525,0.0007525
27,1033.3,0.13819,0.89505,0.99802,0.35573,0.0007426,0.0007426,0.0007426
28,1069.73,0.14774,0.90495,0.99802,0.30722,0.0007327,0.0007327,0.0007327
29,1106.62,0.13255,0.90297,0.99604,0.35265,0.0007228,0.0007228,0.0007228
30,1143.2,0.1161,0.92871,0.99802,0.2651,0.0007129,0.0007129,0.0007129
31,1181.43,0.10871,0.92277,0.99802,0.26204,0.000703,0.000703,0.000703
32,1217.96,0.10768,0.89703,0.99802,0.32465,0.0006931,0.0006931,0.0006931
33,1254.6,0.10856,0.89505,0.99802,0.33177,0.0006832,0.0006832,0.0006832
34,1292.45,0.1068,0.89109,0.99802,0.37498,0.0006733,0.0006733,0.0006733
35,1330.18,0.11275,0.90297,0.99802,0.34328,0.0006634,0.0006634,0.0006634
36,1367.51,0.11339,0.91089,0.99802,0.34856,0.0006535,0.0006535,0.0006535
37,1404.85,0.10536,0.91089,0.99802,0.34552,0.0006436,0.0006436,0.0006436
38,1441.68,0.08688,0.91881,0.99604,0.31695,0.0006337,0.0006337,0.0006337
39,1478.98,0.10791,0.91485,0.99802,0.30472,0.0006238,0.0006238,0.0006238
40,1516.1,0.10373,0.91089,0.99802,0.31803,0.0006139,0.0006139,0.0006139
41,1553.56,0.08381,0.90891,1,0.31762,0.000604,0.000604,0.000604
42,1590.76,0.08508,0.91485,0.99802,0.28357,0.0005941,0.0005941,0.0005941
43,1627.44,0.08699,0.91485,0.99802,0.32715,0.0005842,0.0005842,0.0005842
44,1664.28,0.09228,0.91485,1,0.28988,0.0005743,0.0005743,0.0005743
45,1704.7,0.08655,0.91287,0.99802,0.29249,0.0005644,0.0005644,0.0005644
46,1742.06,0.09047,0.90099,1,0.34897,0.0005545,0.0005545,0.0005545
47,1778.71,0.06636,0.90891,1,0.29427,0.0005446,0.0005446,0.0005446
48,1815.1,0.06711,0.90693,1,0.31871,0.0005347,0.0005347,0.0005347
49,1851.55,0.0583,0.91683,0.99802,0.30252,0.0005248,0.0005248,0.0005248
50,1889.92,0.06866,0.90891,0.99802,0.31288,0.0005149,0.0005149,0.0005149
